game_id,season,team,over,batter,batter_id,bowler,bowler_id,non_striker,non_striker_id,wides,noballs,legbyes,byes,player_out,player_out_id,fielders_name,fielders_id,wicket_type,runs_batter,runs_extras,runs_total,team_over,over_ball,inning,runs_cumulative,powerplay,wicket
951357,2015/16,West Indies,19,D Ramdin,d1523761,K Rabada,e62dd25d,CR Brathwaite,e342e5fb,0,0,0,0,,,,,,1,0,1,West Indies_19,1,1,1,0,0
1284495,2021/22,Kuwait,11,Shiraz Khan,f310704c,Mohamed Mahfooz,44f5a3e4,Meet Bhavsar,b25a3800,0,0,0,0,,,,,,4,0,4,Kuwait_11,1,1,4,0,0
1260100,2021,New Zealand,18,LM Kasperek,9b73d523,S Ecclestone,cdb82f1c,JM Kerr,9af58032,0,0,0,0,LM Kasperek,9b73d523,AE Jones,b05e45e4,stumped,0,0,0,New Zealand_18,1,1,0,0,1
1395030,2023,Netherlands,10,SL Kalis,2b150c6b,S Toffoletto,9e498eac,B de Leede,b3020075,1,0,0,0,,,,,,0,1,1,Netherlands_10,1,1,1,0,0
1388213,2023/24,Bangladesh,18,Mahedi Hasan,9dad0f2e,AF Milne,350bb1b1,Liton Das,0404d43c,0,0,0,0,,,,,,4,0,4,Bangladesh_18,1,1,4,0,0
1289284,2021/22,Qatar,11,Aisha Rahman,9c7e9140,RC Belbashi,dfdaca74,SA Panayan,cad60789,0,0,0,0,Aisha Rahman,9c7e9140,,,bowled,0,0,0,Qatar_11,1,1,0,0,1
1144163,2018/19,South Africa,19,CH Morris,fb66ce1f,Shaheen Shah Afridi,45a7e761,T Shamsi,a03bba42,0,0,0,0,,,,,,0,0,0,South Africa_19,1,1,0,0,0
1172507,2018/19,Netherlands,18,RN ten Doeschate,4ec07775,Bilal Khan,dcdb87f2,BN Cooper,634a7b21,0,0,0,0,,,,,,4,0,4,Netherlands_18,1,1,4,0,0
1215160,2019/20,Saudi Arabia,19,Muhammad Naeem,e2f7d34b,Junaid Siddique,84dc72db,Adil Butt,598f5484,0,0,0,0,Muhammad Naeem,e2f7d34b,Rohan Mustafa,d1988788,caught,0,0,0,Saudi Arabia_19,1,1,0,0,1
1394920,2023,Sierra Leone,5,AM Kamara,4ca3d67d,SA Akenji,d1504c13,M Turay,1eec6a0f,0,0,0,0,,,,,,4,0,4,Sierra Leone_5,1,1,4,1,0
1335792,2022/23,United Arab Emirates,19,KKN Egodage,5bb904d4,D Hemalatha,1d6ff329,Chaya Mughal,77b26349,0,0,0,0,,,,,,1,0,1,United Arab Emirates_19,1,1,1,0,0
366708,2008/09,West Indies,19,SJ Benn,364ee2cf,JS Patel,f5821615,JE Taylor,4180d897,0,0,0,0,,,,,,0,0,0,West Indies_19,1,1,0,0,0
636164,2013/14,England,19,RS Bopara,7ca5e05d,JR Hazlewood,03806cf8,DR Briggs,f3abd0c9,0,0,0,0,,,,,,1,0,1,England_19,1,1,1,0,0
1299579,2021/22,Philippines,19,Huzaifa Mohammed,65a29a30,Sikder Billah,aa76333b,R Goodwin,f8648b9b,0,0,0,0,,,,,,1,0,1,Philippines_19,1,1,1,0,0
1257951,2021,Netherlands,17,VJ Kingma,3a7ea906,A Bohara,64fb6b15,TS Braat,95d3c4a6,0,0,0,0,VJ Kingma,3a7ea906,,,bowled,0,0,0,Netherlands_17,1,1,0,0,1
1392811,2023,Oman,19,Shakeel Ahmed,e29e9c12,S Veerapathiran,1e569fb0,Fayyaz Butt,bd9fbd51,0,0,0,0,Shakeel Ahmed,e29e9c12,Imran Ali Butt,5d60560f,run out,1,0,1,Oman_19,1,1,1,0,1
627008,2013,Pakistan,19,Sana Mir,b287e7b1,NR Sciver,f3a18a0c,Nahida Khan,3e7c0b1e,0,0,0,0,,,,,,1,0,1,Pakistan_19,1,1,1,0,0
1419934,2023/24,Thailand,19,A Suwanchonrathi,43a2244f,KKN Egodage,5bb904d4,P Maya,72eada4c,0,0,0,0,A Suwanchonrathi,43a2244f,ER Oza,fdc6b34d,caught,0,0,0,Thailand_19,1,1,0,0,1
1273729,2021/22,South Africa,18,AK Markram,6a26221c,AD Russell,bbd41817,HE van der Dussen,9948e262,0,0,0,0,,,,,,1,0,1,South Africa_18,1,1,1,0,0
1389393,2023/24,Australia,19,GJ Maxwell,b681e71e,M Prasidh Krishna,85e0cf10,MS Wade,afa7e784,0,0,0,0,,,,,,4,0,4,Australia_19,1,1,4,0,0
588498,2012/13,West Indies,18,Kycia A Knight,552f664a,M Kapp,63e3b6b3,DJS Dottin,53bee17f,0,0,0,0,,,,,,1,0,1,West Indies_18,1,1,1,0,0
1126726,2018,England,17,NR Sciver,f3a18a0c,HNK Jensen,b8cce99f,HC Knight,4ba0289e,0,0,0,0,,,,,,4,0,4,England_17,1,1,4,0,0
1395011,2023,Canada,19,R Misra,430f7ef9,U Iftikhar,73ff4720,Saniyah Zia,ffae3d12,0,0,0,0,,,,,,0,0,0,Canada_19,1,1,0,0,0
489220,2011,West Indies,19,DP Hyatt,2e2fe3e8,YK Pathan,3c6ffae8,CD Barnwell,0d51e658,0,0,1,0,,,,,,0,1,1,West Indies_19,1,1,1,0,0
1119545,2018,India,18,HH Pandya,dbe50b21,CJ Jordan,ffe699c0,RG Sharma,740742ef,0,0,0,0,,,,,,6,0,6,India_18,1,1,6,0,0
1272901,2021,Zimbabwe,19,N Sibanda,edf62a25,N Boochatham,58acb320,A Mazvishaya,09a58e2d,0,0,0,0,N Sibanda,edf62a25,,,bowled,0,0,0,Zimbabwe_19,1,1,0,0,1
1423373,2023/24,Papua New Guinea,19,L Siaka,6b4593ee,Zeeshan Maqsood,34464143,S Bau,9a95bebb,0,0,0,0,,,,,,4,0,4,Papua New Guinea_19,1,1,4,0,0
1179016,2019,Namibia,6,KA Green,fa9fdefa,G Matome,a6898f7a,Yasmeen Khan,ade5c0c0,0,0,0,0,,,,,,2,0,2,Namibia_6,1,1,2,0,0
1320211,2022,Hong Kong,10,Hiu Ying Cheung,9efce9fd,Mas Elysa,857de42e,Chan Ka Man,c4022bff,0,0,0,0,,,,,,1,0,1,Hong Kong_10,1,1,1,0,0
